run_id,implementation_id,kind,design_top,config,n,k,clock_period_ns,physical_seed,gpl_random_seed,grt_seed,or_seed,attempt,run_directory,expected_stages,activity_traces,status,exit_status,start_time_utc,end_time_utc,failure_reason
secded-pipe-10ns-seed47-attempt1,secded-rtl-pipelined-72-64-v1,candidate,gate04_secded_pipe_72_64,secded_pipe.mk,72,64,10.0,47,47,47,47,1,/var/lib/green-ecc-gate04/runs/secded-pipe-10ns-seed47-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
secded-pipe-10ns-seed71-attempt1,secded-rtl-pipelined-72-64-v1,candidate,gate04_secded_pipe_72_64,secded_pipe.mk,72,64,10.0,71,71,71,71,1,/var/lib/green-ecc-gate04/runs/secded-pipe-10ns-seed71-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
secded-pipe-10ns-seed101-attempt1,secded-rtl-pipelined-72-64-v1,candidate,gate04_secded_pipe_72_64,secded_pipe.mk,72,64,10.0,101,101,101,101,1,/var/lib/green-ecc-gate04/runs/secded-pipe-10ns-seed101-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
secded-pipe-5ns-seed11-attempt1,secded-rtl-pipelined-72-64-v1,candidate,gate04_secded_pipe_72_64,secded_pipe.mk,72,64,5.0,11,11,11,11,1,/var/lib/green-ecc-gate04/runs/secded-pipe-5ns-seed11-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
secded-pipe-5ns-seed29-attempt1,secded-rtl-pipelined-72-64-v1,candidate,gate04_secded_pipe_72_64,secded_pipe.mk,72,64,5.0,29,29,29,29,1,/var/lib/green-ecc-gate04/runs/secded-pipe-5ns-seed29-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
secded-pipe-5ns-seed47-attempt1,secded-rtl-pipelined-72-64-v1,candidate,gate04_secded_pipe_72_64,secded_pipe.mk,72,64,5.0,47,47,47,47,1,/var/lib/green-ecc-gate04/runs/secded-pipe-5ns-seed47-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
secded-pipe-5ns-seed71-attempt1,secded-rtl-pipelined-72-64-v1,candidate,gate04_secded_pipe_72_64,secded_pipe.mk,72,64,5.0,71,71,71,71,1,/var/lib/green-ecc-gate04/runs/secded-pipe-5ns-seed71-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
secded-pipe-5ns-seed101-attempt1,secded-rtl-pipelined-72-64-v1,candidate,gate04_secded_pipe_72_64,secded_pipe.mk,72,64,5.0,101,101,101,101,1,/var/lib/green-ecc-gate04/runs/secded-pipe-5ns-seed101-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
hsiao-10ns-seed11-attempt1,hsiao-generated-combinational-72-64-v1,candidate,gate04_hsiao_72_64,hsiao.mk,72,64,10.0,11,11,11,11,1,/var/lib/green-ecc-gate04/runs/hsiao-10ns-seed11-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
hsiao-10ns-seed29-attempt1,hsiao-generated-combinational-72-64-v1,candidate,gate04_hsiao_72_64,hsiao.mk,72,64,10.0,29,29,29,29,1,/var/lib/green-ecc-gate04/runs/hsiao-10ns-seed29-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
hsiao-10ns-seed47-attempt1,hsiao-generated-combinational-72-64-v1,candidate,gate04_hsiao_72_64,hsiao.mk,72,64,10.0,47,47,47,47,1,/var/lib/green-ecc-gate04/runs/hsiao-10ns-seed47-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
hsiao-10ns-seed71-attempt1,hsiao-generated-combinational-72-64-v1,candidate,gate04_hsiao_72_64,hsiao.mk,72,64,10.0,71,71,71,71,1,/var/lib/green-ecc-gate04/runs/hsiao-10ns-seed71-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
hsiao-10ns-seed101-attempt1,hsiao-generated-combinational-72-64-v1,candidate,gate04_hsiao_72_64,hsiao.mk,72,64,10.0,101,101,101,101,1,/var/lib/green-ecc-gate04/runs/hsiao-10ns-seed101-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
hsiao-5ns-seed11-attempt1,hsiao-generated-combinational-72-64-v1,candidate,gate04_hsiao_72_64,hsiao.mk,72,64,5.0,11,11,11,11,1,/var/lib/green-ecc-gate04/runs/hsiao-5ns-seed11-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
hsiao-5ns-seed29-attempt1,hsiao-generated-combinational-72-64-v1,candidate,gate04_hsiao_72_64,hsiao.mk,72,64,5.0,29,29,29,29,1,/var/lib/green-ecc-gate04/runs/hsiao-5ns-seed29-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
hsiao-5ns-seed47-attempt1,hsiao-generated-combinational-72-64-v1,candidate,gate04_hsiao_72_64,hsiao.mk,72,64,5.0,47,47,47,47,1,/var/lib/green-ecc-gate04/runs/hsiao-5ns-seed47-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
hsiao-5ns-seed71-attempt1,hsiao-generated-combinational-72-64-v1,candidate,gate04_hsiao_72_64,hsiao.mk,72,64,5.0,71,71,71,71,1,/var/lib/green-ecc-gate04/runs/hsiao-5ns-seed71-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
hsiao-5ns-seed101-attempt1,hsiao-generated-combinational-72-64-v1,candidate,gate04_hsiao_72_64,hsiao.mk,72,64,5.0,101,101,101,101,1,/var/lib/green-ecc-gate04/runs/hsiao-5ns-seed101-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
bch78-10ns-seed11-attempt1,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,candidate,gate04_bch_78_64,bch.mk,78,64,10.0,11,11,11,11,1,/var/lib/green-ecc-gate04/runs/bch78-10ns-seed11-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
bch78-10ns-seed29-attempt1,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,candidate,gate04_bch_78_64,bch.mk,78,64,10.0,29,29,29,29,1,/var/lib/green-ecc-gate04/runs/bch78-10ns-seed29-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
bch78-10ns-seed47-attempt1,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,candidate,gate04_bch_78_64,bch.mk,78,64,10.0,47,47,47,47,1,/var/lib/green-ecc-gate04/runs/bch78-10ns-seed47-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
bch78-10ns-seed71-attempt1,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,candidate,gate04_bch_78_64,bch.mk,78,64,10.0,71,71,71,71,1,/var/lib/green-ecc-gate04/runs/bch78-10ns-seed71-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
bch78-10ns-seed101-attempt1,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,candidate,gate04_bch_78_64,bch.mk,78,64,10.0,101,101,101,101,1,/var/lib/green-ecc-gate04/runs/bch78-10ns-seed101-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
bch78-5ns-seed11-attempt1,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,candidate,gate04_bch_78_64,bch.mk,78,64,5.0,11,11,11,11,1,/var/lib/green-ecc-gate04/runs/bch78-5ns-seed11-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
bch78-5ns-seed29-attempt1,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,candidate,gate04_bch_78_64,bch.mk,78,64,5.0,29,29,29,29,1,/var/lib/green-ecc-gate04/runs/bch78-5ns-seed29-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
bch78-5ns-seed47-attempt1,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,candidate,gate04_bch_78_64,bch.mk,78,64,5.0,47,47,47,47,1,/var/lib/green-ecc-gate04/runs/bch78-5ns-seed47-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
bch78-5ns-seed71-attempt1,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,candidate,gate04_bch_78_64,bch.mk,78,64,5.0,71,71,71,71,1,/var/lib/green-ecc-gate04/runs/bch78-5ns-seed71-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
bch78-5ns-seed101-attempt1,shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,candidate,gate04_bch_78_64,bch.mk,78,64,5.0,101,101,101,101,1,/var/lib/green-ecc-gate04/runs/bch78-5ns-seed101-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary72-10ns-seed11-attempt1,boundary-reference-72-64-v1,reference,gate04_boundary_ref_72_64,boundary72.mk,72,64,10.0,11,11,11,11,1,/var/lib/green-ecc-gate04/runs/boundary72-10ns-seed11-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary72-10ns-seed29-attempt1,boundary-reference-72-64-v1,reference,gate04_boundary_ref_72_64,boundary72.mk,72,64,10.0,29,29,29,29,1,/var/lib/green-ecc-gate04/runs/boundary72-10ns-seed29-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary72-10ns-seed47-attempt1,boundary-reference-72-64-v1,reference,gate04_boundary_ref_72_64,boundary72.mk,72,64,10.0,47,47,47,47,1,/var/lib/green-ecc-gate04/runs/boundary72-10ns-seed47-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary72-10ns-seed71-attempt1,boundary-reference-72-64-v1,reference,gate04_boundary_ref_72_64,boundary72.mk,72,64,10.0,71,71,71,71,1,/var/lib/green-ecc-gate04/runs/boundary72-10ns-seed71-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary72-10ns-seed101-attempt1,boundary-reference-72-64-v1,reference,gate04_boundary_ref_72_64,boundary72.mk,72,64,10.0,101,101,101,101,1,/var/lib/green-ecc-gate04/runs/boundary72-10ns-seed101-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary72-5ns-seed11-attempt1,boundary-reference-72-64-v1,reference,gate04_boundary_ref_72_64,boundary72.mk,72,64,5.0,11,11,11,11,1,/var/lib/green-ecc-gate04/runs/boundary72-5ns-seed11-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
